Sample Location,Latitidue ,Longitude,Sample Location,Al,Fe,Ca,K,Mg,Mn,As,Ba,Co,Cr,Cu,Na,Ni,Pb,Zn,P,S
Hosley St,42.613 N,71.955 W,Hosley St,84599,29150,1770,37859,7845,401,51,625,2,49,24,12389,14,28,86,259,1245
Bennett St,42.625 N,71.814 W,Bennett St,93501,41502,1141,27869,5544,537,67,647,2,91,9,5426,28,39,135,525,92
Cadwell Rd,42.627 N,71.855 W,Cadwell Rd,72263,30111,10629,22920,7988,221,48,402,2,38,9,26796,18,35,103,623,117
Union St,42.550 N,71.989 W,Union St,5135,3389,329,1452,208,73,41,17,3,17,7,1020,13,23,28,49,60
Matthews St,42.599 N ,71.955 W,Matthews St,78329,62497,832,36492,6578,565,39,379,2,74,85,8701,13,25,82,532,978
Northfield Rd, 42.610 N, 71.730 W,Northfield Rd,64003,36406,16628,21720,19700,463,37,453,1,131,11,14761,64,26,89,563,77
Alpine Rd,42.588 N,71.834 W,Alpine Rd,78,14,8,36,3,360,10,,32,6,8,13,10,33,59,1,0
Main St,42.581 N,71.809 W,Main St,98,15,1,70,2,825,8,,29,5,9,15,5,77,88,1,1
South Street,42.561 N,71.791 W,South Street,113,69,0,48,15,1436,8,,43,128,51,2,26,18,206,0,1
Main Rd,42.663N,71.782 W,Main Rd,97,53,2,21,7,1446,20,,128,103,24,4,14,24,148,1,1
Pleasant St,42.631 N,71.710 W,Pleasant St,93,42,1,19,5,511,32,,53,83,28,4,11,35,140,0,1
Eastern Ave,42.592 N,71.750 W,Eastern Ave,51,27,10,9,4,1620,5,,66,33,22,9,15,9,69,1,1
Minott Rd,42.579 N,71.697 W,Minott Rd,93,23,2,27,5,219,5,,17,46,16,9,5,15,99,1,1
Sulfolk Lane,42.573 N,71.875 W,Sulfolk Lane,112,56,1,43,9,820,78,,19,78,29,6,5,14,95,0,2
