Sample Location,Latitidue ,Longitude,Al
Hosley St,42.613 N,71.955 W,84599
Bennett St,42.625 N,71.814 W,93501
Cadwell Rd,42.627 N,71.855 W,72263
Union St,"42 33'3.32""N","71 59'21.15""W",5135
Matthews St,"42 35'59.04""N","71 57'18.39""W",78329
Northfield Rd,"42 36'39.38""N","71 43'48.22""W",64003
Alpine Rd,42.588 N,71.834 W,78
Main St,42.581 N,71.809 W,98
South Street,42.561 N,71.791 W,113
Main Rd,42.663N,71.782 W,97
Pleasant St,42.631 N,71.710 W,93
Eastern Ave,42.592 N,71.750 W,51
Minott Rd,42.579 N,71.697 W,93
Sulfolk Lane,42.573 N,71.875 W,112
